Time     	P_ID	A_ID	Operation	Seat No 	Tour No
17:34:56	0    	2    	R        	4       	2      
17:34:56	1    	2    	R        	4       	3      
17:34:56	0    	2    	R        	5       	3      
17:34:56	1    	2    	C        	4       	3      
17:34:56	0    	2    	B        	5       	3      
17:34:56	0    	2    	R        	1       	1      
17:34:56	0    	2    	C        	4       	2      
17:34:56	1    	2    	R        	3       	2      
17:34:56	1    	2    	R        	3       	3      
17:34:56	1    	2    	C        	3       	2      
17:34:56	0    	2    	R        	1       	3      
17:34:56	0    	2    	B        	1       	3      
17:34:56	0    	2    	R        	4       	3      
17:34:56	1    	2    	R        	3       	1      
17:34:56	1    	2    	C        	3       	1      
17:34:56	1    	2    	C        	3       	3      
17:34:56	0    	2    	B        	4       	3      
17:34:56	0    	2    	C        	1       	1      
17:34:56	1    	2    	R        	2       	1      
17:34:56	0    	2    	R        	2       	2      
17:34:56	0    	2    	C        	2       	2      
17:34:56	0    	2    	R        	3       	3      
17:34:56	0    	2    	R        	5       	1      
17:34:56	1    	2    	B        	2       	1      
17:34:56	1    	2    	R        	3       	1      
17:34:56	0    	2    	C        	5       	1      
17:34:56	1    	2    	R        	2       	2      
17:34:56	0    	2    	R        	5       	1      
17:34:56	1    	2    	B        	2       	2      
17:34:56	1    	2    	B        	3       	1      
17:34:56	0    	2    	B        	3       	3      
17:34:56	1    	2    	R        	5       	2      
17:34:56	0    	2    	C        	5       	1      
17:34:56	0    	2    	R        	4       	1      
17:34:56	1    	2    	B        	5       	2      
17:34:56	0    	2    	R        	4       	2      
17:34:56	0    	2    	C        	4       	1      
17:34:56	0    	2    	C        	4       	2      
17:34:56	1    	2    	R        	3       	2      
17:34:56	1    	2    	C        	3       	2      
17:34:56	1    	2    	R        	2       	3      
17:34:56	1    	2    	C        	2       	3      
17:34:56	0    	2    	R        	4       	1      
17:34:56	0    	2    	B        	4       	1      
17:34:56	1    	2    	R        	1       	2      
17:34:56	1    	2    	C        	1       	2      
17:34:56	0    	2    	R        	4       	2      
17:34:56	0    	2    	B        	4       	2      
17:34:56	1    	2    	R        	5       	1      
17:34:56	1    	2    	R        	2       	3      
17:34:56	1    	2    	B        	2       	3      
17:34:56	1    	2    	R        	3       	2      
17:34:56	0    	2    	R        	1       	2      
17:34:56	0    	2    	R        	1       	1      
17:34:56	1    	2    	B        	5       	1      
17:34:56	0    	2    	C        	1       	1      
17:34:56	0    	2    	C        	1       	2      
17:34:56	1    	2    	B        	3       	2      
17:34:56	1    	2    	R        	1       	1      
17:34:56	1    	2    	C        	1       	1      
17:34:56	1    	2    	R        	1       	1      
17:34:56	1    	2    	B        	1       	1      
17:34:56	0    	2    	R        	1       	2      
17:34:56	0    	2    	C        	1       	2      
17:34:56	1    	2    	R        	1       	2      
17:34:56	1    	2    	C        	1       	2      
17:34:56	0    	2    	R        	1       	2      
17:34:56	0    	2    	B        	1       	2      
